"user_name","name","email","active","sys_created_on","sys_updated_on","sys_updated_by","avatar","building","phone","calendar_integration","city","sys_class_name","company","cost_center","country","sys_created_by","date_format","default_perspective","department","sys_domain","sys_domain_path","employee_number","enable_multifactor_authn","failed_attempts","first_name","gender","geolocation_tracked","hashed_user_id","home_phone","internal_integration_user","ldap_server","preferred_language","last_login","last_login_time","last_name","last_position_update","latitude","location","locked_out","longitude","manager","middle_name","mobile_phone","notification","on_schedule","user_password","password_needs_reset","photo","introduction","roles","schedule","source","state","street","sys_tags","time_format","time_sheet_policy","time_zone","title","sys_mod_count","vip","web_service_access_only","agent_status","zip"
"yvonne-sinclair-grants","Yvonne Sinclair","yvonne.sinclair@soprasteria.com","true","26/08/2022 14:13:43","20/10/2022 14:12:47","guest","","","","Outlook","","User","","","","des-king-grants","","","","global","/","","false","0","Yvonne","","false","1f5da609bbfc195699857f8933599f5a48277926319626def2f8b4ec5dda19d7","","false","","","21/10/2022","21/10/2022 16:32:12","Sinclair","","","","false","","","","","Enable","","********","false","","","","","","","","","","","","","8","false","false","",""
"has-khan-grants","Hasnaat Khan","hasnaat.khan@soprasteria.com","true","27/07/2022 16:13:51","04/10/2022 16:50:51","guest","","","","","","User","","","","des-king-grants","","","","global","/","","false","0","Hasnaat","","false","45ee56d4ae5f38ddffe4844474993cf7058b2e6bb010780ec158fc0a0afa5fc0","","false","","","11/11/2022","11/11/2022 10:45:55","Khan","","","","false","","","","","Enable","","********","false","","","","","","","","","","","","","7","false","false","",""
"minnie.mouse","Minnie Mouse","minnie.mouse@email.com","true","29/09/2022 11:51:23","29/09/2022 11:51:23","yvonne-sinclair-grants","","","","Outlook","","User","","","","yvonne-sinclair-grants","","","","global","/","","false","","Minnie","","false","ae406f90f655e475b4dca06fab1c052f56cda0fc8ca0b1c9cb5d2adaf7ef9285","","false","","","","","Mouse","","","","false","","","","","Enable","","********","false","","","","","","","","","","","","","0","false","false","",""
"admin","System Administrator","admin@example.com","true","03/07/2007 19:48:47","23/08/2022 06:23:39","guest","a5d3c898c3222010ae17dd981840dd8b.iix","","","Outlook","","User","","","","fred.luddy","","","Finance","global","","","false","0","System","","false","5df770fa60fb6ae1caf0326127e92a77c844a1b5484ae8adb201a396877b22c2","","false","","","29/09/2022","29/09/2022 16:28:30","Administrator","","","","false","","","","","Enable","","********","false","","","admin","","","","","","","","","System Administrator","78","false","false","",""
"paul-fraser-grants","Paul Fraser","paul.fraser@soprasteria.com","true","27/07/2022 16:09:48","04/08/2022 10:35:27","paul-fraser-grants","","","","Outlook","","User","","","","des-king-grants","","","","global","/","","false","0","Paul","","false","c56d6e16aa43fe71daf25b81f06381cf3c1d16d9b532245591b8ef0be69387c1","","false","","","04/08/2022","04/08/2022 10:35:11","Fraser","","","","false","","","","","Enable","","********","false","","","","","","","","","","","","","3","false","false","",""
"warwick-cooney-grants","Warwick Cooney","warwick.cooney@ext.soprasteria.com","true","27/07/2022 16:07:12","02/08/2022 17:03:23","warwick-cooney-grants","","","","Outlook","","User","","","","des-king-grants","","","","global","/","","false","0","Warwick","","false","875ee54cff2a6566234168d3b3ea2fcbd02827afb5f83e7af5ca4a69daf6add9","","false","","","22/08/2022","22/08/2022 12:58:29","Cooney","","","","false","","","","","Enable","","********","false","","","","","","","","","","","","","2","false","false","",""
"des-king-grants","Des King","des.king@soprasteria.com","true","27/07/2022 16:00:19","27/07/2022 16:16:44","des-king-grants","c3d6d98c1b01911069ab0fa7624bcb23.iix","","","Outlook","","User","","","","admin","","","","global","/","","false","0","Des","","false","8536138ba1acc92415de8c26d2410e776b71de94cb9394fd76c797e48c11c166","","false","","English","09/11/2022","09/11/2022 20:01:20","King","","","","false","","","","07808923913","Enable","","********","false","c3d6d98c1b01911069ab0fa7624bcb23.iix","","","","","","","","","","","","4","false","false","",""
"cheryl-holt-grants","Cheryl Holt","cheryl.holt@soprasteria.com","true","27/07/2022 16:11:53","27/07/2022 16:15:17","cheryl-holt-grants","","","","Outlook","","User","","","","des-king-grants","","","","global","/","","false","0","Cheryl","","false","ae323f0f14c0ccfac7263eed12b0497f9445b8034d1e1ae17fafd9c90aa2b21c","","false","","","18/08/2022","18/08/2022 08:17:47","Holt","","","","false","","","","","Enable","","********","false","","","","","","","","","","","","","2","false","false","",""
"itil","ITIL User","itil@example.com","true","03/07/2004 19:26:21","25/07/2022 13:27:32","guest","ca524098c3222010ae17dd981840ddbf.iix","","","Outlook","","User","ACME North America","Sales","","admin","","","Sales","global","/","","false","","ITIL","","false","07743a8a8be2624cb36b80d257d0bffa06e49cfec41e105c0ada3a2bc89a6727","","false","","","","","User","","","400 Pryor Street Southwest, Atlanta,GA","false","","","","","Disable","","********","true","","","itil","","","","","","","","","IT Technician","12","false","false","",""
"employee","Joe Employee","employee@example.com","true","03/07/2004 19:26:05","25/07/2022 13:27:32","guest","e7828098c3222010ae17dd981840dd1a.iix","","","Outlook","","User","ACME North America","Sales","","admin","","","Sales","global","","","false","","Joe","Male","false","c2189a5c5fdf5d38c07dffde50d17613e79d7359c9663e455a90f1f54f45a762","","false","","","","","Employee","","","3121 High Point Road, Greensboro,NC","false","","","","","Enable","","********","true","","","","","","","","","","","","Administrative Assistant","12","false","false","",""
"arron.ubhi","Arron Ubhi","arron.ubhi@example.com","true","19/03/2021 15:42:30","30/06/2022 22:55:14","system","78de0d3c534360100999ddeeff7b1214.iix","","","Outlook","","User","","","","admin","","","","global","/","","false","","Arron","","false","a2b7b61ac97fcccc04f5a4aaddee0b03d7460def117dcbecbdd3374c75cdb866","","false","","","","","Ubhi","","","","false","","","","","Enable","","********","false","","","","","","","","","","","","Senior Developer","2","false","false","",""
"johnie.minaai","Johnie Minaai","johnie.minaai@example.com","true","18/02/2012 03:04:53","30/06/2022 22:55:14","system","","","","Outlook","","User","ACME Germany","Sales","","admin","","","Sales","global","/","","false","","Johnie","Male","false","2dd7bd89b21cd712390cda2d14cd0e190dca38aef14e19204a8665d45ae05251","","false","","","","","Minaai","","","30 Katharinenstr, Hamburg","false","","","","","Enable","","********","false","","","","","","","","","","","","","4","false","false","",""
"lucius.winchester","Lucius Winchester","lucius.winchester@example.com","true","18/02/2012 03:04:53","30/06/2022 22:55:14","system","","","","Outlook","","User","ACME France","Sales","","admin","","","Sales","global","/","","false","","Lucius","Male","false","08e6243fd5032f5f97e7b861c6b49467ab051fb7c20aabfeddd000310632c616","","false","","","","","Winchester","","","27, Boulevard Vitton, Paris","false","","","","","Enable","","********","false","","","","","","","","","","","","","4","false","false","",""
"cristina.sharper","Cristina Sharper","cristina.sharper@example.com","true","18/02/2012 03:04:53","30/06/2022 22:55:14","system","","","","Outlook","","User","ACME North America","Sales","","admin","","","Sales","global","/","","false","","Cristina","Female","false","1782a47f74336ee18bcaf6df63e06d91b8bb7a0b921b06c53b7f109f60c40f7d","","false","","","","","Sharper","","","601 College Street, Clarksville,TN","false","","","","","Enable","","********","false","","","","","","","","","","","","","5","false","false","",""
"winnie.reich","Winnie Reich","winnie.reich@example.com","true","18/02/2012 03:04:53","30/06/2022 22:55:14","system","","","","Outlook","","User","ACME North America","Sales","","admin","","","Sales","global","/","","false","","Winnie","Female","false","a90a1cecec0ebbd37098e01555c771791fb2ec4b86099389946507a86f9d3679","","false","","","","","Reich","","","9249 Cicero Avenue, Oak Lawn,IL","false","","","","","Enable","","********","false","","","","","","","","","","","","","5","false","false","",""
"sheila.holloran","Sheila Holloran","sheila.holloran@example.com","true","18/02/2012 03:04:53","30/06/2022 22:55:14","system","","","","Outlook","","User","ACME UK","Sales","","admin","","","Sales","global","/","","false","","Sheila","Female","false","f07bd5a2eb17a1dd252f235b06e57f9bd0cdd685340594d39e2071506f3fe96a","","false","","","","","Holloran","","","Paradise Road, Richmond, London","false","","","","","Enable","","********","false","","","","","","","","","","","","","4","false","false","",""
"marion.gaulden","Marion Gaulden","marion.gaulden@example.com","true","18/02/2012 03:04:52","30/06/2022 22:55:14","system","","","","Outlook","","User","ACME Germany","Sales","","admin","","","Sales","global","/","","false","","Marion","Female","false","a766b39c77752041754b9a2fbcc24c95ef72187cbf1059b58d6ae4d7ff1c0c83","","false","","","","","Gaulden","","","30 Katharinenstr, Hamburg","false","","","","","Enable","","********","false","","","","","","","","","","","","","4","false","false","",""
"roman.simone","Roman Simone","roman.simone@example.com","true","18/02/2012 03:04:52","30/06/2022 22:55:14","system","","","","Outlook","","User","ACME France","Sales","","admin","","","Sales","global","/","","false","","Roman","Male","false","a9ce6d1ebd767d87bc11be785e96b58f1c6a4bab236bfc4ec67ac7fda58150d7","","false","","","","","Simone","","","27, Boulevard Vitton, Paris","false","","","","","Enable","","********","false","","","","","","","","","","","","","4","false","false","",""
"mariano.maury","Mariano Maury","mariano.maury@example.com","true","18/02/2012 03:04:52","30/06/2022 22:55:14","system","","","","Outlook","","User","ACME North America","Engineering","","admin","","","Product Management","global","/","","false","","Mariano","Male","false","abee4a57cdbb50ddcab187306b2059eafac1634b3be7cdc6368224b76532c0a1","","false","","","","","Maury","","","13770 Noel Road, Dallas,TX","false","","","","","Enable","","********","false","","","","","","","","","","","","","5","false","false","",""
"virtual.agent","Virtual Agent","","true","30/06/2022 22:29:43","30/06/2022 22:55:14","system","","","","Outlook","","User","","","","system","","","","global","/","","false","","Virtual","","false","ece40b17e8b1f09b238620b9c4fd2ca1cc2cef6ee23093d1eb472ec7a4e25179","","false","","","","","Agent","","","","false","","","","","Enable","","********","false","","","","","","","","","","","","","1","false","false","",""
"ed.gompf","Ed Gompf","ed.gompf@example.com","true","18/02/2012 03:04:49","30/06/2022 22:55:14","system","","","","Outlook","","User","ACME Germany","Customer Support","","admin","","","Customer Support","global","/","","false","","Ed","Male","false","f1a9e2b332bf581160c28d6ce00f63da8d4c4e5d44c1edca782b6d11619ab2ac","","false","","","","","Gompf","","","Bockenheimer Landstraﬂe 123, Frankfurt","false","","","","","Enable","","********","false","","","","","","","","","","","","","4","false","false","",""
"owen.sparacino","Owen Sparacino","owen.sparacino@example.com","true","18/02/2012 03:04:49","30/06/2022 22:55:14","system","","","","Outlook","","User","ACME Czech Republic","Customer Support","","admin","","","Customer Support","global","/","","false","","Owen","Male","false","d56fe9945e86a91eecea88b6270b59dd0f0397a905d3c24415ef64eb286e666b","","false","","","","","Sparacino","","","Karmelitska 2, Lesser Town, Prague","false","","","","","Enable","","********","false","","","","","","","","","","","","","4","false","false","",""
"sam","Software Manager","","true","20/03/2012 01:04:50","30/06/2022 22:55:14","system","","","","Outlook","","User","","","","admin","","","","global","/","","false","","Software","","false","85b1c39464a48501fad434584f07135812cb614539dbb44c81a3fc13f947c979","","false","","","","31/08/2011 00:53:36","Manager","","","","false","","","","","Enable","","********","false","","","sam","","","","","","","","","Tester","1","false","false","",""
"bow.ruggeri","Bow Ruggeri","bow.ruggeri@example.com","true","07/07/2005 19:39:58","30/06/2022 22:55:14","system","","","","Outlook","","User","ACME North America","Engineering","","glide.maint","","","Development","global","/","","false","","Bow","Female","false","df21226ab5cd0a316748d157e438976dca2a0d29f3c29f6508a56a203dd66ade","","false","","","","","Ruggeri","","","13308 Midland Road, Poway,CA","false","","","","","Disable","","********","false","","","itil
itil_admin","","","","","","","","","","10","false","false","",""
"sn_ua.downloader","Usage Analytics Downloader ","","true","26/08/2021 22:32:22","30/06/2022 22:55:14","system","","","","Outlook","","User","","","","maint","","","","global","","","false","","Usage Analytics Downloader","","false","a79672879b835a3594a586ee0bbabb38024cfea3ab5f8688a33d37494d7a5571","","false","","","","","","","","","false","","","","","Enable","","********","false","","","","","","","","","","","","","2","false","false","",""
"Change.Manager","Change Manager","change.manager@example.com","true","24/06/2015 06:19:00","30/06/2022 22:55:14","system","","","","Outlook","","User","","","","admin","","","","global","/","","false","","Change","","false","84eef959a86e66ef3060890ed85686a2f333154256decb42d89d34dea2286d2b","","false","","","","","Manager","","","","false","","","","","Enable","","********","false","","","","","","","","","","","","","1","false","false","",""
"ione.kucera","Ione Kucera","ione.kucera@example.com","true","18/02/2012 03:04:49","30/06/2022 22:55:14","system","","","","Outlook","","User","ACME Australia","Customer Support","","admin","","","Customer Support","global","/","","false","","Ione","Female","false","2f5e11023f8104f1a53e766589c920663eefb76ed0d7a28642e4a7a7ce1f5b9a","","false","","","","","Kucera","","","248 Abbotsford Road, Brisbane","false","","","","","Enable","","********","false","","","","","","","","","","","","","4","false","false","",""
"emilio.lampkin","Emilio Lampkin","emilio.lampkin@example.com","true","18/02/2012 03:04:49","30/06/2022 22:55:14","system","","","","Outlook","","User","ACME Czech Republic","Customer Support","","admin","","","Customer Support","global","/","","false","","Emilio","Male","false","fc141ad7fd78d53290580333f504bee7a79f5b7a51fdf856ed2ca1af854cc8e4","","false","","","","","Lampkin","","","Karmelitska 2, Lesser Town, Prague","false","","","","","Enable","","********","false","","","","","","","","","","","","","4","false","false","",""
"quintin.isacson","Quintin Isacson","quintin.isacson@example.com","true","18/02/2012 03:04:49","30/06/2022 22:55:14","system","","","","Outlook","","User","ACME France","Customer Support","","admin","","","Customer Support","global","/","","false","","Quintin","Male","false","0afe36a593ede3f7c3d283fcaf866ec7c6890ce3cad70bc755fbdb98b202ec52","","false","","","","","Isacson","","","27, Boulevard Vitton, Paris","false","","","","","Enable","","********","false","","","","","","","","","","","","","4","false","false","",""
"mac.marksberry","Mac Marksberry","mac.marksberry@example.com","true","18/02/2012 03:04:49","30/06/2022 22:55:14","system","","","","Outlook","","User","ACME Germany","Customer Support","","admin","","","Customer Support","global","/","","false","","Mac","Male","false","67e8189addc37767a16d0ec07d3931a19373c18f9c03284c51357030186c58cc","","false","","","","","Marksberry","","","Bockenheimer Landstraﬂe 123, Frankfurt","false","","","","","Enable","","********","false","","","","","","","","","","","","","4","false","false","",""
"son.marschke","Son Marschke","son.marschke@example.com","true","18/02/2012 03:04:53","30/06/2022 22:55:14","system","","","","Outlook","","User","ACME Germany","Sales","","admin","","","Sales","global","/","","false","","Son","Male","false","90568dfc1a1e41b346317e4895ff6c14b9e4dffb28b30143773fec2acab7c537","","false","","","","","Marschke","","","30 Katharinenstr, Hamburg","false","","","","","Enable","","********","false","","","","","","","","","","","","","4","false","false","",""
"lacy.hyten","Lacy Hyten","lacy.hyten@example.com","true","18/02/2012 03:04:53","30/06/2022 22:55:14","system","","","","Outlook","","User","ACME Australia","Sales","","admin","","","Sales","global","/","","false","","Lacy","Female","false","c16db06de2a16de1125fcba6e2c322ee346f9b34707ffb0d6388c60152a3d75d","","false","","","","","Hyten","","","140 George Street, Sydney","false","","","","","Enable","","********","false","","","","","","","","","","","","","4","false","false","",""
"janice.twiet","Janice Twiet","janice.twiet@example.com","true","18/02/2012 03:04:49","30/06/2022 22:55:14","system","","","","Outlook","","User","ACME Italy","Customer Support","","admin","","","Customer Support","global","/","","false","","Janice","Female","false","0848d45be48a7c2b744c83ec09906dd99577bac044fab51b1c22ec7e52f591c9","","false","","","","","Twiet","","","Via Nomentana 56, Rome","false","","","","","Enable","","********","false","","","","","","","","","","","","","4","false","false","",""
"hillary.holmes","Hillary Holmes","hillary.holmes@example.com","true","18/02/2012 03:04:52","30/06/2022 22:55:14","system","","","","Outlook","","User","ACME China","Sales","","admin","","","Sales","global","/","","false","","Hillary","Female","false","225b80ba74ad5523f45484981266586cd6b532d6a3c6509e3f1edfa4ec6c6f48","","false","","","","","Holmes","","","150 Kennedy Road, Hong Kong","false","","","","","Enable","","********","false","","","","","","","","","","","","","4","false","false","",""
"damion.matkin","Damion Matkin","damion.matkin@example.com","true","18/02/2012 03:04:49","30/06/2022 22:55:14","system","","","","Outlook","","User","ACME France","Customer Support","","admin","","","Customer Support","global","/","","false","","Damion","Male","false","f555a49ea678bd0c9130c2e6dcad46c97ff4ec0da1b9324519a5426933436788","","false","","","","","Matkin","","","27, Boulevard Vitton, Paris","false","","","","","Enable","","********","false","","","","","","","","","","","","","4","false","false","",""
