"name","description","active","manager","parent","sys_updated_on","cost_center","sys_created_on","sys_created_by","default_assignee","exclude_manager","points","email","hourly_rate","include_members","roles","source","sys_tags","type","sys_updated_by","sys_mod_count","vendors"
"Data Culture Triage Team","Data Culture Triage Team","true","Warwick Cooney","Assignment Groups","29/09/2022 12:31:19","","20/08/2022 06:18:23","warwick-cooney-grants","","false","0","","$0.00","false","","","","","has-khan-grants","4",""
"Wealth","Wealth Team","true","Frankie Morein","Assignment Groups","27/09/2022 16:05:07","","23/09/2022 09:30:56","has-khan-grants","","false","0","","$0.00","false","","","","","has-khan-grants","2",""
"NatWest Markets Plc.","","true","Chuck Farley","Assignment Groups","23/09/2022 09:55:12","","23/09/2022 09:30:26","has-khan-grants","","false","0","Ariel@disney.com","$0.00","false","","","","","has-khan-grants","2",""
"Legal, Governance and Regulatory Affairs","Legal, Governance and Regulatory Affairs","true","Vivian Brzostowski","Assignment Groups","23/09/2022 09:54:40","","23/09/2022 09:27:05","has-khan-grants","","false","0","Elsa@disney.com","$0.00","false","","","","","has-khan-grants","2",""
"Communications","Communications","true","Bess Marso","Assignment Groups","23/09/2022 09:54:31","","20/08/2022 06:32:30","warwick-cooney-grants","","false","0","todd@simpsons.com","$0.00","false","","","","","has-khan-grants","3",""
"Marketing","Marketing","true","Waldo Sisk","Assignment Groups","23/09/2022 09:54:18","","20/08/2022 06:14:04","warwick-cooney-grants","","false","0","Ned@simpsons.com","$0.00","false","","","","","has-khan-grants","2",""
"Finance","Finance","true","Bernard Laboy","Assignment Groups","23/09/2022 09:54:09","","20/08/2022 06:15:48","warwick-cooney-grants","","false","0","Homer@simpsons.com","$0.00","false","","","","","has-khan-grants","2",""
"Retail Banking","Retail Banking","true","Annabelle Coger","Assignment Groups","23/09/2022 09:54:03","","20/08/2022 06:13:10","warwick-cooney-grants","","false","0","Lisa@simpsons.com","$0.00","false","","","","","has-khan-grants","2",""
"People & Transformation","","true","Davis Heideman","Assignment Groups","23/09/2022 09:31:38","","23/09/2022 09:30:45","has-khan-grants","","false","0","","$0.00","false","","","","","has-khan-grants","1",""
"NatWest Trustee and Depositary Services","","true","Denver Topete","Assignment Groups","23/09/2022 09:31:32","","23/09/2022 09:30:39","has-khan-grants","","false","0","","$0.00","false","","","","","has-khan-grants","1",""
"NatWest Markets Securities Japan Ltd","","true","Bridgett Retort","Assignment Groups","23/09/2022 09:31:26","","23/09/2022 09:30:32","has-khan-grants","","false","0","","$0.00","false","","","","","has-khan-grants","1",""
"Internal Audit","Internal Audit","true","Warren Hacher","Assignment Groups","23/09/2022 09:29:27","","20/08/2022 06:16:51","warwick-cooney-grants","","false","0","Donald@Disney.com","$0.00","false","","","","","has-khan-grants","3",""
"Royal Bank of Scotland International","Royal Bank of Scotland International","true","Alene Rabeck","Assignment Groups","23/09/2022 09:28:39","","20/08/2022 06:11:14","warwick-cooney-grants","","false","0","","$0.00","false","","","","","has-khan-grants","1",""
"Risk","Risk","true","Allyson Gillispie","Assignment Groups","23/09/2022 09:28:30","","20/08/2022 06:11:43","warwick-cooney-grants","","false","0","","$0.00","false","","","","","has-khan-grants","1",""
"Ulster Bank of Ireland DAC","Ulster Bank of Ireland DAC","true","Aileen Mottern","Assignment Groups","23/09/2022 09:28:22","","20/08/2022 06:09:43","warwick-cooney-grants","","false","0","","$0.00","false","","","","","has-khan-grants","3",""
"Natwest Markets NV","Natwest Markets","true","Alissa Mountjoy","Assignment Groups","23/09/2022 09:28:11","","20/08/2022 06:13:37","warwick-cooney-grants","","false","0","","$0.00","false","","","","","has-khan-grants","1",""
